Product Name,Category,Retail Price USD,Supplier Cost USD,Gross Margin %,SKU,CJ Supplier URL,Image URL,Stock
"7-inch Car Monitor Desktop Reversing Monitor Display","Workspace & Studio",31.3,9.78,68.8%,CJ-240924035057,"https://cjdropshipping.com/product/7-inch-car-monitor-desktop-reversing-monitor-display-p-2409240350571624600.html","https://oss-cf.cjdropshipping.com/product/2024/09/25/06/63a50c1b-7c38-4ce8-9660-d2b9c920b167_fine.jpeg?x-oss-process=image/format,webp,image/resize,m_fill,m_pad,w_250,h_250",85
"Car Display AP-1 Car HUD Head-up Display OBD GPS Driving Computer Code","Workspace & Studio",64.09,22.89,64.3%,CJ-140968771564,"https://cjdropshipping.com/product/car-display-ap-1-car-hud-head-up-display-obd-gps-driving-computer-code-table-p-1409687715645100032.html","https://cf.cjdropshipping.com/5f125b7d-4eb6-421f-89ff-d6e68835be10.png?x-oss-process=image/format,webp,image/resize,m_fill,m_pad,w_250,h_250",85
"Aluminum Alloy Computer Monitor Increase Rack Desktop Storage Bracket Notebook Desktop Computer","Workspace & Studio",80.22,28.65,64.3%,CJ-137383360674,"https://cjdropshipping.com/product/aluminum-alloy-computer-monitor-increase-rack-desktop-storage-bracket-notebook-desktop-computer-elevated-base-p-1373833606748835840.html","https://cf.cjdropshipping.com/1616382186663.jpg?x-oss-process=image/format,webp,image/resize,m_fill,m_pad,w_250,h_250",85
"Monitor Hanging Light Zhirui Screen Light Bedroom Dormitory Desk","Workspace & Studio",45.81,16.36,64.3%,CJ-140179564451,"https://cjdropshipping.com/product/monitor-hanging-light-zhirui-screen-light-bedroom-dormitory-desk-p-1401795644515028992.html","https://cc-west-usa.oss-accelerate.aliyuncs.com/1623049014121.jpg?x-oss-process=image/format,webp,image/resize,m_fill,m_pad,w_250,h_250",85
"H198 HD Six-light Infrared Night Vision Recorder Classic Popular Aircraft Nose Traffic","Workspace & Studio",16.64,5.2,68.8%,CJ-162820687768,"https://cjdropshipping.com/product/h198-hd-six-light-infrared-night-vision-recorder-classic-popular-aircraft-nose-traffic-recorder-p-1628206877685329920.html","https://cc-west-usa.oss-accelerate.aliyuncs.com/5ec66f93-8577-4a97-9e2f-fe8478f6ee60.png?x-oss-process=image/format,webp,image/resize,m_fill,m_pad,w_250,h_250",85
"LED sensor light bar","Workspace & Studio",12.72,3.18,75.0%,CJ-10A2E8CF-227,"https://cjdropshipping.com/product/led-sensor-light-bar-p-10A2E8CF-227C-49D0-AF4E-FAE2945E2D3D.html","https://cf.cjdropshipping.com/15944832/1006442521780.jpg?x-oss-process=image/format,webp,image/resize,m_fill,m_pad,w_250,h_250",85
"Computer Video Light Mobile Phone Selfie Fill Light","Workspace & Studio",4.16,1.04,75.0%,CJ-240615114414,"https://cjdropshipping.com/product/computer-video-light-mobile-phone-selfie-fill-light-p-2406151144141627300.html","https://cf.cjdropshipping.com/quick/product/9b97b98f-5b0e-42a5-9814-5d51335c4486.jpg?x-oss-process=image/format,webp,image/resize,m_fill,m_pad,w_250,h_250",85
"Party Computer Game Desktop Atmosphere Light","Workspace & Studio",19.8,4.95,75.0%,CJ-240611063715,"https://cjdropshipping.com/product/party-computer-game-desktop-atmosphere-light-p-2406110637151614700.html","https://oss-cf.cjdropshipping.com/product/2024/06/11/06/fe66318f-54ef-4ab9-9137-524bbb825f22_trans.jpeg?x-oss-process=image/format,webp,image/resize,m_fill,m_pad,w_250,h_250",85
"Led Rechargeable Bar Table Lamp Quiet Bar Service Script Light","Workspace & Studio",11.28,2.82,75.0%,CJ-250828014349,"https://cjdropshipping.com/product/led-rechargeable-bar-table-lamp-quiet-bar-service-script-light-p-2508280143491622000.html","https://oss-cf.cjdropshipping.com/product/2025/08/28/01/372ac4f5-04bb-4822-85ef-93e93d193f55_trans.jpeg?x-oss-process=image/format,webp,image/resize,m_fill,m_pad,w_250,h_250",85
"Modeling Neon Light Luminous Character Billboard Creative Light Bar","Workspace & Studio",19.44,4.86,75.0%,CJ-250111015549,"https://cjdropshipping.com/product/modeling-neon-light-luminous-character-billboard-creative-light-bar-p-2501110155491622300.html","https://oss-cf.cjdropshipping.com/product/2025/01/11/01/c7d2354e-c34e-4e21-b1bc-a9872d21c268_trans.jpeg?x-oss-process=image/format,webp,image/resize,m_fill,m_pad,w_250,h_250",85
"Multifunctional Folding Book Light Battery Night Light Creative Learning Bedside Light","Workspace & Studio",9.72,2.43,75.0%,CJ-138577019918,"https://cjdropshipping.com/product/multifunctional-folding-book-light-battery-night-light-creative-learning-bedside-light-p-1385770199189426176.html","https://cc-west-usa.oss-accelerate.aliyuncs.com/1619228177895.jpg?x-oss-process=image/format,webp,image/resize,m_fill,m_pad,w_250,h_250",85
"Sewing Machine Light Strip Touch Sensitive Dimming LED Light Bar","Workspace & Studio",31.97,9.99,68.8%,CJ-0BA7B552-667,"https://cjdropshipping.com/product/sewing-machine-light-strip-touch-sensitive-dimming-led-light-bar-p-0BA7B552-667B-4711-8162-AD18AEB10B73.html","https://cc-west-usa.oss-accelerate.aliyuncs.com/20190620/3519121044737.png?x-oss-process=image/format,webp,image/resize,m_fill,m_pad,w_250,h_250",85
"US Solar Camera Low Power Monitor Dual Lens Monitor","Workspace & Studio",11.28,2.82,75.0%,CJ-250816085207,"https://cjdropshipping.com/product/us-solar-camera-low-power-monitor-dual-lens-monitor-p-2508160852071628900.html","https://frontend-cf.cjdropshipping.com/config-resource/cj/img_default.jpeg",85
"Usb Computer Web Camera 1080P Fill Light Beauty Uvc Songhan Pc Camera","Workspace & Studio",22.27,6.96,68.7%,CJ-138722009145,"https://cjdropshipping.com/product/usb-computer-web-camera-1080p-fill-light-beauty-uvc-songhan-pc-camera-2-million-computer-camera-p-1387220091459997696.html","https://cf.cjdropshipping.com/1619573801485.jpg?x-oss-process=image/format,webp,image/resize,m_fill,m_pad,w_250,h_250",85
"LED Linear Light Embedded Aluminum Lamp Slot U-shaped Alloy Linear Light Bar","Workspace & Studio",6.32,1.58,75.0%,CJ-250805073945,"https://cjdropshipping.com/product/led-linear-light-embedded-aluminum-lamp-slot-u-shaped-alloy-linear-light-bar-p-2508050739451624700.html","https://frontend-cf.cjdropshipping.com/config-resource/cj/img_default.jpeg",85
"English and Russian bilingual speed measuring radar electronic dog","Workspace & Studio",27.74,8.67,68.7%,CJ-1BAF9F05-ABB,"https://cjdropshipping.com/product/english-and-russian-bilingual-speed-measuring-radar-electronic-dog-p-1BAF9F05-ABB5-46CC-B77F-49B7E2C3331F.html","https://cc-west-usa.oss-accelerate.aliyuncs.com/2061/3311529998911.jpg?x-oss-process=image/format,webp,image/resize,m_fill,m_pad,w_250,h_250",85
"Head-up Display Gps High-definition Speed Water Temperature Turbine Monitoring","Workspace & Studio",75.4,26.93,64.3%,CJ-138009453696,"https://cjdropshipping.com/product/head-up-display-gps-high-definition-speed-water-temperature-turbine-monitoring-p-1380094536965033984.html","https://frontend-cf.cjdropshipping.com/config-resource/cj/img_default.jpeg",85
"New Original Podofo A1 Mini Car DVR Camera DASH CAM Full HD","Workspace & Studio",15.08,3.77,75.0%,CJ-1F8D1B20-6FE,"https://cjdropshipping.com/product/new-original-podofo-a1-mini-car-dvr-camera-dash-cam-full-hd-1080p-video-recorder-g-night-vision-sensor-dash-cam-p-1F8D1B20-6FE8-4E7F-AAD8-0BA01F9E8FB0.html","https://cf.cjdropshipping.com/20180907/2175215957062.png?x-oss-process=image/format,webp,image/resize,m_fill,m_pad,w_250,h_250",85
"Oversized Thickened Precision Seaming Computer Desk Mat","Workspace & Studio",4.56,1.14,75.0%,CJ-138692818928,"https://cjdropshipping.com/product/oversized-thickened-precision-seaming-computer-desk-mat-p-1386928189288353792.html","https://oss-cf.cjdropshipping.com/product/2025/08/18/09/467aac31-f622-44e7-8f42-19fe13be11cf.jpg?x-oss-process=image/format,webp,image/resize,m_fill,m_pad,w_250,h_250",85
